GAME_DATE,GAME_NUMBER,DAY_OF_WEEK,VISITING_TEAM,VISITING_LEAGUE,VISITING_GAME_NUMBER,HOME_TEAM,HOME_LEAGUE,HOME_GAME_NUMBER,VISITING_SCORE,HOME_SCORE,OUTS,DAY_NIGHT,COMPLETION_CODE,FORFEIT_CODE,PROTEST_CODE,PARK,ATTENDANCE,LENGTH_MINUTES,VISITING_LINE,HOME_LINE
20180329,0,Thu,COL,NL,1,ARI,NL,1,2,8,51,N,,,,PHO01,48703,216,100001000,30000320x
20180329,0,Thu,PHI,NL,1,ATL,NL,1,5,8,53,D,,,,ATL03,40208,208,100004000,000002033
20180329,0,Thu,SFN,NL,1,LAN,NL,1,1,0,54,D,,,,LOS03,53595,175,000010000,000000000
20180329,0,Thu,CHN,NL,1,MIA,NL,1,8,4,54,D,,,,MIA02,32151,198,310100300,103000000
20180329,0,Thu,SLN,NL,1,NYN,NL,1,4,9,51,D,,,,NYC20,44189,181,020101000,12005001x
20180329,0,Thu,MIL,NL,1,SDN,NL,1,2,1,72,D,,,,SAN02,44649,216,001000000001,000000001000
20180329,0,Thu,MIN,AL,1,BAL,AL,1,2,3,63,D,,,,BAL12,45469,211,00000000200,00000020001
20180329,0,Thu,CHA,AL,1,KCA,AL,1,14,7,54,D,,,,KAN06,36517,206,000530330,400000012
20180329,0,Thu,ANA,AL,1,OAK,AL,1,5,6,64,D,,,,OAK01,27764,242,02011100000,00004010001
20180329,0,Thu,CLE,AL,1,SEA,AL,1,1,2,51,N,,,,SEA03,47149,155,000000100,20000000x
20180329,0,Thu,BOS,AL,1,TBA,AL,1,4,6,51,D,,,,STP01,31042,180,030000100,00000006x
20180329,0,Thu,HOU,AL,1,TEX,AL,1,4,1,54,D,,,,ARL02,47253,179,101100010,000000001
20180329,0,Thu,NYA,AL,1,TOR,AL,1,6,1,54,D,,,,TOR02,48115,171,200020101,000000010
20180330,0,Fri,COL,NL,2,ARI,NL,2,8,9,51,N,,,,PHO01,23937,202,020500100,50202000x
20180330,0,Fri,PHI,NL,2,ATL,NL,2,5,4,66,N,,,,ATL03,35123,256,01101100001,00210001000
20180330,0,Fri,WAS,NL,1,CIN,NL,1,2,0,54,D,,,,CIN09,43878,189,100000001,000000000
20180330,0,Fri,SFN,NL,2,LAN,NL,2,1,0,54,N,,,,LOS03,53478,143,000000001,000000000
20180330,0,Fri,CHN,NL,2,MIA,NL,2,1,2,101,N,,,,MIA02,12034,318,00100000000000000,00100000000000001
20180330,0,Fri,MIL,NL,2,SDN,NL,2,8,6,54,N,,,,SAN02,31513,188,200010005,030100110
20180330,0,Fri,PIT,NL,1,DET,AL,1,13,10,78,D,,,,DET05,42516,327,0003010240003,0200004040000
20180330,0,Fri,ANA,AL,2,OAK,AL,2,2,1,54,N,,,,OAK01,27665,168,100000001,000000001
20180330,0,Fri,BOS,AL,2,TBA,AL,2,1,0,54,N,,,,STP01,19203,166,000000100,000000000
20180330,0,Fri,HOU,AL,2,TEX,AL,2,1,5,51,N,,,,ARL02,35469,182,000010000,01020020x
20180330,0,Fri,NYA,AL,2,TOR,AL,2,4,2,54,N,,,,TOR02,33716,169,010102000,010000001
20180331,0,Sat,COL,NL,3,ARI,NL,3,2,1,54,N,,,,PHO01,33346,174,000001010,000100000
20180331,0,Sat,PHI,NL,3,ATL,NL,3,2,15,51,N,,,,ATL03,37777,201,200000000,12410502x
20180331,0,Sat,WAS,NL,2,CIN,NL,2,13,7,54,D,,,,CIN09,27341,196,301110124,000102022
20180331,0,Sat,SFN,NL,3,LAN,NL,3,0,5,51,N,,,,LOS03,45938,163,000000000,20120000x
20180331,0,Sat,CHN,NL,3,MIA,NL,3,10,6,60,N,,,,MIA02,13422,237,0200310004,2000300100
20180331,0,Sat,SLN,NL,2,NYN,NL,2,2,6,51,D,,,,NYC20,36098,202,000100010,20011011x
20180331,0,Sat,MIL,NL,3,SDN,NL,3,7,3,54,N,,,,SAN02,35106,171,102200020,021000000
20180331,0,Sat,MIN,AL,2,BAL,AL,2,6,2,54,N,,,,BAL12,17763,170,102110100,000000002
